Epsiode #,Name of Guest
#22,Bas Rutten
#1101,Chris & Mark Bell
#1100,Liz Phair
#21,Brendan Schaub
#1099,Christopher Ryan
#1096,Todd Glass
#1095,T.J. English & Joey Diaz
#18,Pat Miletich
#1094,Brian Redban
#1093,Owen Benjamin & Kurt Metzger
#1092,Mary Lynn Rajskub
#1091,Daniele Bolelli
#1089,John Dudley
#1088,Bryan Callen
#1087,Sturgill Simpson
#1086,Rory Albanese
#1085,Kyle Kulinski
#1084,Douglas Murray
#1082,Greg Fitzsimmons
#1081,Bret Weinstein & Heather Heying
#1079,Tony Hinchcliffe
#1078,Jimmy Dore
#1077,Johann Hari
#1076,Phil Demers
#1075,Duncan Trussell
#14,Matt Brown
#1074,Cameron Hanes
#1073,Steven Pinker
#1072,Joey Diaz
#1071,Steven Crowder & NotGay Jared
#1070,Jordan Peterson
#1069,Ben Greenfield
#1068,Michael Shermer
#13,Rose Namajunas & Pat Barry
#1067,Whitney Cummings
#12,Ben Askren
#1066,Mel Gibson & Dr. Neil Riordan
#1065,Danica Patrick
#1064,Eddie Huang & Jessica Rosenworcel
#11,John Danaher
#1063,Tom Segura
#1062,Dan Harris & Jeff Warren
#1061,Tom Papa
#1059,Brian Redban
#1058,Nina Teicholz
#1057,Eddie Pepitone
#1056,Dr. Mark Gordon & Andrew Marr
#7,Brendan Schaub & Bryan Callen
#6,Eddie Bravo
#1055,Bret Weinstein
#1053,Neal Brennan
#1052,Mick West
#1051,Duncan Trussell & Christopher Ryan
#1050,Dr. Shawn Baker
#1049,Chris Stapleton
#4,Justin Wren
#1048,Doug Stanhope
#1047,Andy Stumpf
#1046,Owen Smith
#1045,Bryan Callen
#1043,Brian Redban
#1042,Krystyna Hutchinson & Corinne Fisher
#1,
#1041,Dan Carlin
#1039,Iliza Shlesinger
#1037,Chris Kresser
#1036,"Ari Shaffir, Bert Kreischer & Tom Segura"
#1035,Paul Stamets
#1034,Sebastian Junger
#1033,Owen Benjamin
#1032,Colin Moriarty
#1031,Jamie Kilstein
#1030,Joey Diaz
#1029,Tom DeLonge
#1028,Adam Greentree
#1026,Brian Redban
#1025,Greg Fitzsimmons
#1024,Bert Kreischer
#1023,Christina Pazsitzky
#1022,Eric Weinstein
#1021,Russell Brand
#1020,Amy Alkon
#1019,Bryan Fogel
#1018,Alonzo Bodden
#1017,Jim Norton
#1016,Whitney Cummings
#1015,Reggie Watts
#1014,Dave Smith
#1013,Cameron Hanes
#1012,Brendan Schaub
#1011,Tom Papa
#1009,James Damore
#1007,"Ari Shaffir, Bert Kreischer & Tom Segura"
#1006,Jordan Peterson & Bret Weinstein
#1004,W. Kamau Bell
#1003,Sean Carroll
#1001,Mike Baker
#1000,Joey Diaz & Tom Segura
#999,Tom Bilyeu
#998,Owen Benjamin
#997,Pauly Shore
#996,Dr. Andy Galpin
#995,Jon Ronson
#994,Dom D’Agostino
#993,Ben Shapiro
#992,Ian Edwards
#991,Eddie Bravo
#989,Dorian Yates
#987,Ben O’Brien
#986,Maynard James Keenan
#985,Gad Saad
#984,Yvette d’Entremont
#983,Natasha Leggero & Moshe Kasher
#982,Honey Honey
#981,Josh Barnett
#980,Chris D’Elia
#979,Sargon of Akkad
#978,Judd Apatow
#977,Jeff Evans & Bud Brutsman
#976,Morgan Murphy
#975,Sebastian Junger
#974,Megan Phelps-Roper
#972,Ari Shaffir
#971,Steven Rinella
#970,Bret Weinstein
#969,Andrew Santino
#968,Kelly Brogan
#967,Bill Burr
#966,Tom Papa
#964,Everlast
#963,Michael Malice
#962,Jocko Willink
#961,"Graham Hancock, Randall Carlson & Michael Shermer"
#960,Steve-O
#959,Mick West
#958,Jordan Peterson
#957,Cameron Hanes
#956,Guy Ritchie
#955,Al Madrigal
#954,Justin Brown
#953,Shirley Manson
#952,Thaddeus Russell
#951,Dan Doty
#950,Abby Martin
#949,Josh Zepps
#948,Brendan Schaub & Eddie Bravo
#947,Ron Miscavige
#946,Dennis McKenna
#944,Scott Eastwood & Cameron Hanes
#943,Moshe Kasher
#942,Dan Flores
#941,Greg Fitzsimmons
#940,Sam Harris & Dan Harris
#939,Chris Cage
#938,Lawrence Krauss
#937,Justin Wren
#936,Colin Moriarty
#935,Robb Wolf
#934,John Dudley
#931,Jim Norton
#930,Will MacAskill
#929,Dan Peña
#928,Arian Foster
#927,Tom Papa
#926,Joey Diaz & Alberto Gallazzi
#924,Rory Albanese
#923,Whitney Cummings
#920,Gavin McInnes
#919,Neil deGrasse Tyson
#918,Frank Castillo
#917,Steven Crowder
#916,Fight Recap
#915,Nick DiPaolo
#913,Christopher Ryan
#912,Pete Holmes
#909,Bill Burr
#908,Leah Remini
#906,Henry Rollins
#905,Shane Smith
#904,Gary Taubes
#903,Tony Hinchcliffe & Brian Redban
#901,Dr. Rhonda Patrick
#900,Joseph Valtellini
#899,Bryan Callen
#897,Hunter Maats
#892,Greg Fitzsimmons
#891,Zach Leary
#890,Fight Breakdown w/ Eddie Bravo & Brendan Schaub
#886,Hank Shaw
#885,Tom Segura
#884,Joey Diaz
#882,Tom Papa
#881,Lee Camp
#879,Steven Rinella
#878,Aubrey Marcus
#877,Jordan Peterson
#874,Scott Adams
#873,Steven Kotler
#872,Graham Hancock & Randall Carlson
#870,Bert Kreischer
#866,Christine Hassler
#865,Wim Hof
#864,Kevin Ross & Gaston Bolanos
#863,Duncan Trussell
#862,Trevor Valle
#861,Bryan Callen
#860,Russell Peters
#858,Jesse Ventura
#852,John Anthony West
#851,Shane Mauss
#850,George Perez
#848,Bryan Callen
#847,Dan Carlin
#846,Michael Shermer
#844,Andreas Antonopoulos
#842,Chris Kresser
#841 – Greg Fitzsimmons,
#138,Anthony Bourdain
#1348,Bill Burr
#1347,Neil deGrasse Tyson
#1346,Zuby
#1345,Steve Aoki
#1344,Joseph LeDoux
#78,Andre Ward
#1343,Penn Jillette
#1342,John Carmack
#1341,Steven Rinella
